Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2021-02-26,,0.0,0.0,,0.0
2021-02-25,953.77,953.77,953.77,48394002196.0,0.0
2021-02-24,948.97,948.97,948.97,48150300323.0,0.0
2021-02-23,960.3,960.3,960.3,48677748666.0,0.0
2021-02-22,961.83,961.83,961.83,48755368008.0,0.0
2021-02-19,950.7,950.7,950.7,48191312071.0,0.0
2021-02-18,950.04,950.04,950.04,48157462516.0,0.0
2021-02-17,963.21,963.21,963.21,48825145912.0,0.0
2021-02-16,979.75,979.75,979.75,47816505929.0,0.0
2021-02-15,993.21,993.21,993.21,48473662790.0,0.0
2021-02-12,985.43,985.43,985.43,48094015554.0,0.0
2021-02-11,992.84,992.84,992.84,48455250163.0,0.0
2021-02-10,972.73,972.73,972.73,47474223248.0,0.0
2021-02-09,980.98,980.98,980.98,47868576823.0,0.0
2021-02-08,984.01,984.01,984.01,48016506813.0,0.0
2021-02-05,994.72,994.72,994.72,48539375647.0,0.0
2021-02-04,1010.72,1010.72,1010.72,49320191354.0,0.0
2021-02-03,1023.12,1023.12,1023.12,49924865416.0,0.0
2021-02-02,1025.88,1025.88,1025.88,50059887586.0,0.0
2021-02-01,1007.87,1007.87,1007.87,49180967642.0,0.0
2021-01-29,993.67,994.27,993.67,48487798550.0,0.0
2021-01-28,1005.57,1005.57,1005.57,49068496392.0,0.0
2021-01-27,999.55,999.55,999.55,48774906315.0,0.0
2021-01-26,1019.01,1019.01,1019.01,49724724179.0,0.0
2021-01-25,1006.95,1006.95,1006.95,49135943909.0,0.0
2021-01-22,1024.27,1024.27,1024.27,49981054884.0,0.0
2021-01-21,1024.19,1024.19,1024.19,49977410117.0,0.0
2021-01-20,1027.82,1027.82,1027.82,50154545557.0,0.0
2021-01-19,1031.45,1031.45,1031.45,50331427530.0,0.0
2021-01-18,1019.64,1019.64,1019.64,49755256007.0,0.0
2021-01-15,1015.88,1015.88,1015.88,49571586063.0,0.0
2021-01-14,1017.88,1017.88,1017.88,49669148771.0,0.0
2021-01-13,1007.21,1007.21,1007.21,49148865711.0,0.0
2021-01-12,991.03,991.03,991.03,48534954440.0,0.0
2021-01-11,998.08,998.08,998.08,48880221899.0,0.0
2021-01-08,1020.87,1020.87,1020.87,49996458410.0,0.0
2021-01-07,1013.11,1013.11,1013.11,49616265652.0,0.0
2021-01-06,1034.88,1034.88,1034.88,50682814777.0,0.0
2021-01-05,1037.68,1037.68,1037.68,50872236176.0,0.0
2021-01-04,1038.87,1038.87,1038.87,50930737440.0,0.0
2021-01-01,1045.07,1045.07,1045.07,51234491897.0,0.0
2020-12-31,1045.07,1045.07,1045.07,51234491897.0,0.0
2020-12-30,1050.01,1050.01,1050.01,51476984625.0,0.0
2020-12-29,1061.21,1061.21,1061.21,52026012266.0,88029549.0
2020-12-28,1037.47,1037.47,1037.47,50862007207.0,0.0
2020-12-25,1032.2,1032.2,1032.2,50603841176.0,0.0
2020-12-24,1032.2,1032.2,1032.2,50603841176.0,0.0
2020-12-23,1030.43,1030.43,1030.43,50516932602.0,0.0
2020-12-22,1011.6,1011.6,1011.6,48710122617.0,0.0
2020-12-21,1005.16,1005.16,1005.16,48399991908.0,0.0
2020-12-18,1010.85,1010.85,1010.85,48674012525.0,0.0
2020-12-17,1022.1,1022.1,1022.1,49216103711.0,0.0
2020-12-16,1008.63,1008.63,1008.63,48567312673.0,0.0
2020-12-15,997.85,997.85,997.85,48048057686.0,0.0
2020-12-14,998.26,998.26,998.26,48067915798.0,0.0
2020-12-11,995.39,995.39,995.39,47929671278.0,0.0
